Entity,Code,Day,p_proj_all_ages
Australia,AUS,2020-05-17,-1.0168184
Australia,AUS,2020-05-24,-1.477529
Australia,AUS,2020-05-31,-3.086117
Australia,AUS,2020-06-07,-7.052429
Australia,AUS,2020-06-14,-5.101297
Australia,AUS,2020-06-21,-7.863888
Australia,AUS,2020-06-28,-9.526628
Australia,AUS,2020-07-05,-6.8428993
Australia,AUS,2020-07-12,-6.9422655
Australia,AUS,2020-07-19,-9.075439
Australia,AUS,2020-07-26,-5.9944763
Australia,AUS,2020-08-02,-4.271116
Australia,AUS,2020-08-09,-3.5187287
Australia,AUS,2020-08-16,-2.6144862
Australia,AUS,2020-08-23,-7.8617954
Australia,AUS,2020-08-30,-8.785662
Australia,AUS,2020-09-06,-6.8294916
Australia,AUS,2020-09-13,-6.1975093
Australia,AUS,2020-09-20,-8.794309
Australia,AUS,2020-09-27,-4.114599
Australia,AUS,2020-10-04,-2.8268566
Australia,AUS,2020-10-11,-5.9139757
Australia,AUS,2020-10-18,-5.538789
Australia,AUS,2020-10-25,-4.8123198
Australia,AUS,2020-11-01,-2.2585404
Australia,AUS,2020-11-08,-0.82374316
Australia,AUS,2020-11-15,4.130691
Australia,AUS,2020-11-22,0.10519926
Australia,AUS,2020-11-29,-1.5302728
Australia,AUS,2020-12-06,4.7333727
Australia,AUS,2020-12-13,-1.0330955
Australia,AUS,2020-12-20,1.7084874
Australia,AUS,2020-12-27,4.451707
Australia,AUS,2021-01-03,1.8310547
Australia,AUS,2021-01-10,1.1138499
Australia,AUS,2021-01-17,-1.3703208
Australia,AUS,2021-01-24,6.3470626
Australia,AUS,2021-01-31,-0.21001121
Australia,AUS,2021-02-07,5.153302
Australia,AUS,2021-02-14,0.23656641
Australia,AUS,2021-02-21,-0.14948368
Australia,AUS,2021-02-28,1.5921674
Australia,AUS,2021-03-07,3.170335
Australia,AUS,2021-03-14,3.3819628
Australia,AUS,2021-03-21,4.6180897
Australia,AUS,2021-03-28,1.8066243
Australia,AUS,2021-04-04,2.8609447
Australia,AUS,2021-04-11,-2.130049
Australia,AUS,2021-04-18,6.1978607
Australia,AUS,2021-04-25,5.708517
Australia,AUS,2021-05-02,6.940005
Australia,AUS,2021-05-09,8.807958
Australia,AUS,2021-05-16,4.787069
Australia,AUS,2021-05-23,4.5773973
Australia,AUS,2021-05-30,6.878111
Australia,AUS,2021-06-06,2.2789066
Australia,AUS,2021-06-13,5.6058693
Australia,AUS,2021-06-20,5.0622225
Australia,AUS,2021-06-27,3.0393326
Australia,AUS,2021-07-04,1.7187804
Australia,AUS,2021-07-11,1.7206768
Australia,AUS,2021-07-18,3.7991483
Australia,AUS,2021-07-25,2.013841
Australia,AUS,2021-08-01,2.6286354
Australia,AUS,2021-08-08,-1.5288788
Australia,AUS,2021-08-15,-3.106881
Australia,AUS,2021-08-22,-2.5764909
Australia,AUS,2021-08-29,-5.5463576
Australia,AUS,2021-09-05,-3.7434628
Australia,AUS,2021-09-12,-4.0930753
Australia,AUS,2021-09-19,0.36182225
Australia,AUS,2021-09-26,-1.7950838
Australia,AUS,2021-10-03,6.784682
Australia,AUS,2021-10-10,2.9527218
Australia,AUS,2021-10-17,2.884437
Australia,AUS,2021-10-24,4.7467732
Australia,AUS,2021-10-31,6.121285
Australia,AUS,2021-11-07,5.5902567
Australia,AUS,2021-11-14,3.2830377
Australia,AUS,2021-11-21,9.89806
Australia,AUS,2021-11-28,6.2451177
Australia,AUS,2021-12-05,7.4981914
Australia,AUS,2021-12-12,6.6071053
Australia,AUS,2021-12-19,6.784409
Australia,AUS,2021-12-26,12.054724
Australia,AUS,2022-01-02,8.976948
Australia,AUS,2022-01-09,10.175373
Australia,AUS,2022-01-16,23.82087
Australia,AUS,2022-01-23,30.210943
Australia,AUS,2022-01-30,27.117224
Australia,AUS,2022-02-06,26.943798
Australia,AUS,2022-02-13,19.499378
Australia,AUS,2022-02-20,15.013289
Australia,AUS,2022-02-27,12.6175165
Australia,AUS,2022-03-06,12.541159
Australia,AUS,2022-03-13,5.57252
Australia,AUS,2022-03-20,12.474442
Australia,AUS,2022-03-27,11.122153
Australia,AUS,2022-04-03,12.707144
Australia,AUS,2022-04-10,13.047468
Australia,AUS,2022-04-17,9.1314
Australia,AUS,2022-04-24,12.382737
Australia,AUS,2022-05-01,13.202058
Australia,AUS,2022-05-08,17.767471
Australia,AUS,2022-05-15,17.087143
Australia,AUS,2022-05-22,12.847058
Australia,AUS,2022-05-29,13.884793
Australia,AUS,2022-06-05,17.618866
Australia,AUS,2022-06-12,18.694801
Australia,AUS,2022-06-19,23.42442
Australia,AUS,2022-06-26,18.42377
Australia,AUS,2022-07-03,13.967489
Australia,AUS,2022-07-10,17.367685
Australia,AUS,2022-07-17,18.079176
Australia,AUS,2022-07-24,15.937179
Australia,AUS,2022-07-31,15.635313
Australia,AUS,2022-08-07,18.411814
Australia,AUS,2022-08-14,15.248278
Australia,AUS,2022-08-21,8.589681
Australia,AUS,2022-08-28,6.5611897
Australia,AUS,2022-09-04,2.0123951
Australia,AUS,2022-09-11,5.302671
Australia,AUS,2022-09-18,5.4475055
Australia,AUS,2022-09-25,6.56188
Australia,AUS,2022-10-02,2.5241804
Australia,AUS,2022-10-09,5.102499
Australia,AUS,2022-10-16,5.4596186
Australia,AUS,2022-10-23,9.478691
Australia,AUS,2022-10-30,4.638349
Australia,AUS,2022-11-06,7.265784
Australia,AUS,2022-11-13,12.543703
Australia,AUS,2022-11-20,12.725139
Australia,AUS,2022-11-27,13.175294
Australia,AUS,2022-12-04,12.506935
Australia,AUS,2022-12-11,19.012243
Australia,AUS,2022-12-18,15.005968
Australia,AUS,2022-12-25,17.983963
Australia,AUS,2023-01-01,15.085592
Australia,AUS,2023-01-08,14.156747
Australia,AUS,2023-01-15,7.5853896
Australia,AUS,2023-01-22,10.077464
Australia,AUS,2023-01-29,7.047959
Australia,AUS,2023-02-05,12.915129
Australia,AUS,2023-02-12,6.3096466
Australia,AUS,2023-02-19,9.726849
Australia,AUS,2023-02-26,5.6586494
Australia,AUS,2023-03-05,8.55675
Australia,AUS,2023-03-12,9.737848
Australia,AUS,2023-03-19,13.239494
Australia,AUS,2023-03-26,8.938177
Australia,AUS,2023-04-02,7.6159987
Australia,AUS,2023-04-09,6.2621675
Australia,AUS,2023-04-16,11.082692
Australia,AUS,2023-04-23,12.736333
Australia,AUS,2023-04-30,12.043562
Australia,AUS,2023-05-07,11.825843
Australia,AUS,2023-05-14,15.032357
Australia,AUS,2023-05-21,16.17396
Australia,AUS,2023-05-28,14.321535
Australia,AUS,2023-06-04,16.862677
Australia,AUS,2023-06-11,7.907601
Australia,AUS,2023-06-18,7.2019396
Australia,AUS,2023-06-25,12.897554
Australia,AUS,2023-07-02,8.275663
Australia,AUS,2023-07-09,7.8237786
Australia,AUS,2023-07-16,5.3064218
Australia,AUS,2023-07-23,3.3204205
Australia,AUS,2023-07-30,3.0374703
Australia,AUS,2023-08-06,1.3758118
Australia,AUS,2023-08-13,0.6367663
Australia,AUS,2023-08-20,0.75401866
Australia,AUS,2023-08-27,-3.9537308
Australia,AUS,2023-09-03,-4.9463673
Australia,AUS,2023-09-10,-4.4847775
Australia,AUS,2023-09-17,0.2541655
Australia,AUS,2023-09-24,-3.3579724
Australia,AUS,2023-10-01,2.3745918
Australia,AUS,2023-10-08,-0.6170656
Australia,AUS,2023-10-15,6.334981
Australia,AUS,2023-10-22,1.584487
Australia,AUS,2023-10-29,3.4321373
Australia,AUS,2023-11-05,7.565235
Australia,AUS,2023-11-12,11.654806
Australia,AUS,2023-11-19,13.563037
Australia,AUS,2023-11-26,7.9302173
Australia,AUS,2023-12-03,11.215256
Australia,AUS,2023-12-10,11.30003
Australia,AUS,2023-12-17,7.277614
Australia,AUS,2023-12-24,10.2502575
Australia,AUS,2023-12-31,9.642458
Austria,AUT,2020-01-05,-12.09933
Austria,AUT,2020-01-12,-9.871014
Austria,AUT,2020-01-19,-0.80859417
Austria,AUT,2020-01-26,0.38501012
Austria,AUT,2020-02-02,5.615407
Austria,AUT,2020-02-09,-9.752155
Austria,AUT,2020-02-16,-6.441048
Austria,AUT,2020-02-23,-6.6912856
Austria,AUT,2020-03-01,-4.022239
Austria,AUT,2020-03-08,-2.1886308
Austria,AUT,2020-03-15,-0.9592035
Austria,AUT,2020-03-22,13.034879
Austria,AUT,2020-03-29,5.4654655
Austria,AUT,2020-04-05,13.486229
Austria,AUT,2020-04-12,14.603294
Austria,AUT,2020-04-19,9.620124
Austria,AUT,2020-04-26,6.082985
Austria,AUT,2020-05-03,-0.7952587
Austria,AUT,2020-05-10,3.9352822
Austria,AUT,2020-05-17,-0.14842473
Austria,AUT,2020-05-24,2.5124896
Austria,AUT,2020-05-31,-1.6462036
Austria,AUT,2020-06-07,3.5903902
Austria,AUT,2020-06-14,-0.38287815
Austria,AUT,2020-06-21,-1.457811
Austria,AUT,2020-06-28,0.9866103
Austria,AUT,2020-07-05,6.848183
Austria,AUT,2020-07-12,-1.331804
Austria,AUT,2020-07-19,-3.3579583
Austria,AUT,2020-07-26,-4.1777186
Austria,AUT,2020-08-02,-0.1312336
Austria,AUT,2020-08-09,-1.2730057
Austria,AUT,2020-08-16,8.325446
Austria,AUT,2020-08-23,0.96352375
Austria,AUT,2020-08-30,2.9045644
Austria,AUT,2020-09-06,8.708105
Austria,AUT,2020-09-13,8.171745
Austria,AUT,2020-09-20,8.16808
Austria,AUT,2020-09-27,2.6965353
Austria,AUT,2020-10-04,2.8373446
Austria,AUT,2020-10-11,5.3179073
Austria,AUT,2020-10-18,5.7465215
Austria,AUT,2020-10-25,15.953413
Austria,AUT,2020-11-01,23.090984
Austria,AUT,2020-11-08,31.100355
Austria,AUT,2020-11-15,45.265972
Austria,AUT,2020-11-22,54.187008
Austria,AUT,2020-11-29,55.104126
Austria,AUT,2020-12-06,56.82407
Austria,AUT,2020-12-13,52.398525
Austria,AUT,2020-12-20,34.803917
Austria,AUT,2020-12-27,21.01003
Austria,AUT,2021-01-03,13.999086
Austria,AUT,2021-01-10,6.4537244
Austria,AUT,2021-01-17,3.7926285
Austria,AUT,2021-01-24,10.540839
Austria,AUT,2021-01-31,9.443756
Austria,AUT,2021-02-07,0.85674274
Austria,AUT,2021-02-14,-6.4110837
Austria,AUT,2021-02-21,-6.71236
Austria,AUT,2021-02-28,-10.099587
Austria,AUT,2021-03-07,-14.24071
Austria,AUT,2021-03-14,-1.8097994
Austria,AUT,2021-03-21,-2.6482441
Austria,AUT,2021-03-28,1.5644263
Austria,AUT,2021-04-04,5.8394146
Austria,AUT,2021-04-11,3.1657355
Austria,AUT,2021-04-18,7.774523
Austria,AUT,2021-04-25,9.038089
Austria,AUT,2021-05-02,13.04987
Austria,AUT,2021-05-09,11.193132
Austria,AUT,2021-05-16,9.283277
Austria,AUT,2021-05-23,2.1093662
Austria,AUT,2021-05-30,2.6810427
Austria,AUT,2021-06-06,11.25
Austria,AUT,2021-06-13,8.275382
Austria,AUT,2021-06-20,8.781484
Austria,AUT,2021-06-27,15.266541
Austria,AUT,2021-07-04,5.51424
Austria,AUT,2021-07-11,0.5613329
Austria,AUT,2021-07-18,3.6350677
Austria,AUT,2021-07-25,5.256117
Austria,AUT,2021-08-01,1.0301093
Austria,AUT,2021-08-08,-4.926818
Austria,AUT,2021-08-15,11.654494
Austria,AUT,2021-08-22,9.070115
Austria,AUT,2021-08-29,7.372891
Austria,AUT,2021-09-05,6.1690974
Austria,AUT,2021-09-12,15.982317
Austria,AUT,2021-09-19,8.935464
Austria,AUT,2021-09-26,8.863732
Austria,AUT,2021-10-03,11.8755045
Austria,AUT,2021-10-10,4.1666665
Austria,AUT,2021-10-17,5.6584244
Austria,AUT,2021-10-24,12.424872
Austria,AUT,2021-10-31,22.96364
Austria,AUT,2021-11-07,26.283636
Austria,AUT,2021-11-14,33.680782
Austria,AUT,2021-11-21,33.77693
Austria,AUT,2021-11-28,37.63111
Austria,AUT,2021-12-05,40.030533
Austria,AUT,2021-12-12,30.173157
Austria,AUT,2021-12-19,18.230824
Austria,AUT,2021-12-26,10.528827
Austria,AUT,2022-01-02,5.8609695
Austria,AUT,2022-01-09,-4.617056
Austria,AUT,2022-01-16,-11.116993
Austria,AUT,2022-01-23,-0.1319855
Austria,AUT,2022-01-30,-0.73074764
Austria,AUT,2022-02-06,-3.1665392
Austria,AUT,2022-02-13,-0.5779136
Austria,AUT,2022-02-20,3.8594942
Austria,AUT,2022-02-27,-0.37756202
Austria,AUT,2022-03-06,5.9211965
Austria,AUT,2022-03-13,3.494625
Austria,AUT,2022-03-20,10.014912
Austria,AUT,2022-03-27,22.699387
Austria,AUT,2022-04-03,16.402428
Austria,AUT,2022-04-10,21.429453
Austria,AUT,2022-04-17,14.877712
Austria,AUT,2022-04-24,6.403496
Austria,AUT,2022-05-01,12.301961
Austria,AUT,2022-05-08,10.249902
Austria,AUT,2022-05-15,6.972949
Austria,AUT,2022-05-22,7.090301
Austria,AUT,2022-05-29,5.3247128
Austria,AUT,2022-06-05,9.09845
Austria,AUT,2022-06-12,10.011075
Austria,AUT,2022-06-19,10.410734
Austria,AUT,2022-06-26,14.7541
Austria,AUT,2022-07-03,15.588765
Austria,AUT,2022-07-10,8.8467865
Austria,AUT,2022-07-17,10.756349
Austria,AUT,2022-07-24,22.985746
Austria,AUT,2022-07-31,13.887424
Austria,AUT,2022-08-07,8.081725
Austria,AUT,2022-08-14,6.981213
Austria,AUT,2022-08-21,12.890261
Austria,AUT,2022-08-28,5.7443
Austria,AUT,2022-09-04,-0.3290409
Austria,AUT,2022-09-11,9.565715
Austria,AUT,2022-09-18,9.07468
Austria,AUT,2022-09-25,13.539519
Austria,AUT,2022-10-02,14.8576765
Austria,AUT,2022-10-09,21.239624
Austria,AUT,2022-10-16,13.733075
Austria,AUT,2022-10-23,14.884209
Austria,AUT,2022-10-30,18.689163
Austria,AUT,2022-11-06,11.197411
Austria,AUT,2022-11-13,12.430257
Austria,AUT,2022-11-20,12.345366
Austria,AUT,2022-11-27,11.082803
Austria,AUT,2022-12-04,18.616148
Austria,AUT,2022-12-11,16.269114
Austria,AUT,2022-12-18,32.71906
Austria,AUT,2022-12-25,35.500713
Austria,AUT,2023-01-01,30.036219
Austria,AUT,2023-01-08,27.476452
Austria,AUT,2023-01-15,11.585943
Austria,AUT,2023-01-22,0.72336423
Austria,AUT,2023-01-29,-0.75053346
Austria,AUT,2023-02-05,-4.900377
Austria,AUT,2023-02-12,-10.782847
Austria,AUT,2023-02-19,-4.6564364
Austria,AUT,2023-02-26,-0.12900582
Austria,AUT,2023-03-05,-0.43149945
Austria,AUT,2023-03-12,2.845982
Austria,AUT,2023-03-19,3.3260915
Austria,AUT,2023-03-26,6.942066
Austria,AUT,2023-04-02,0.34438005
Austria,AUT,2023-04-09,3.8305178
Austria,AUT,2023-04-16,5.3893743
Austria,AUT,2023-04-23,10.513507
Austria,AUT,2023-04-30,8.577491
Austria,AUT,2023-05-07,5.522289
Austria,AUT,2023-05-14,9.081063
Austria,AUT,2023-05-21,1.5052601
Austria,AUT,2023-05-28,5.0684934
Austria,AUT,2023-06-04,4.69438
Austria,AUT,2023-06-11,1.7369692
Austria,AUT,2023-06-18,2.9828553
Austria,AUT,2023-06-25,8.644537
Austria,AUT,2023-07-02,-2.6560946
Austria,AUT,2023-07-09,2.605865
Austria,AUT,2023-07-16,8.489896
